,Start,Center,End,alphaC0,alphaC0_std,alphaC1,alphaC1_std,alphaC2,alphaC2_std,alphaN0,alphaN0_std,alphaN1,alphaN1_std
1108,0.02188874586428266,0.0244132453738057,0.026937744883328733,0.5958344359853627,0.0006944508975168121,-3.6666562400721436,0.028167788075204453,0.0,0.0,0.0,0.0,0.0,0.0
1109,0.021907445860649497,0.024431945370172535,0.02695644487969557,0.5955169438830266,0.0006967242088668228,-3.653664802355996,0.02823888092580862,0.0,0.0,0.0,0.0,0.0,0.0
1110,0.021926145857016337,0.024450645366539372,0.026975144876062406,0.5951989946178705,0.0006990088790473929,-3.6406643267156644,0.028310326917101825,0.0,0.0,0.0,0.0,0.0,0.0
1111,0.021944845853383174,0.02446934536290621,0.026993844872429243,0.5948807014728151,0.0007013014012213451,-3.6276594773205066,0.028381984282046212,0.0,0.0,0.0,0.0,0.0,0.0
1112,0.02196354584975001,0.024488045359273045,0.027012544868796083,0.59456148861073,0.0007035983758447974,-3.614626988280272,0.02845371459180759,0.0,0.0,0.0,0.0,0.0,0.0
1113,0.021982245846116848,0.024506745355639882,0.02703124486516292,0.594242043496316,0.0007058963240932798,-3.601594800397761,0.028525377532040583,0.0,0.0,0.0,0.0,0.0,0.0
1114,0.022000945842483684,0.024525445352006722,0.027049944861529757,0.5939221349747263,0.0007081917113473459,-3.5885536136788003,0.02859683008519802,0.0,0.0,0.0,0.0,0.0,0.0
1115,0.02201964583885052,0.02454414534837356,0.027068644857896593,0.5936013008775253,0.000710481166306162,-3.5754848183039614,0.028667936680119074,0.0,0.0,0.0,0.0,0.0,0.0
1116,0.02203834583521736,0.024562845344740396,0.02708734485426343,0.5932797692176845,0.0007127611021645874,-3.5623977353072385,0.02873855383014857,0.0,0.0,0.0,0.0,0.0,0.0
1117,0.022057045831584198,0.024581545341107233,0.027106044850630267,0.5929582301474279,0.000715027697545528,-3.549320308842998,0.028808528737107583,0.0,0.0,0.0,0.0,0.0,0.0
1118,0.022075745827951035,0.02460024533747407,0.027124744846997107,0.5926350673373093,0.0007172779091934011,-3.5361873782648545,0.028877739741021057,0.0,0.0,0.0,0.0,0.0,0.0
1119,0.02209444582431787,0.024618945333840906,0.027143444843363944,0.5923118946747634,0.0007195094577062889,-3.5230641281969,0.02894609760664148,0.0,0.0,0.0,0.0,0.0,0.0
1120,0.02211314582068471,0.024637645330207746,0.02716214483973078,0.5919880192543482,0.0007217215892555322,-3.50992263844317,0.029013573255162937,0.0,0.0,0.0,0.0,0.0,0.0
1121,0.022131845817051545,0.024656345326574583,0.027180844836097617,0.5916632089940996,0.0007239134681291857,-3.496753611121322,0.029080135162846205,0.0,0.0,0.0,0.0,0.0,0.0
1122,0.022150545813418385,0.02467504532294142,0.027199544832464454,0.5913372311198688,0.000726084242678182,-3.4835477480751122,0.02914575207175227,0.0,0.0,0.0,0.0,0.0,0.0
1123,0.022169245809785222,0.024693745319308257,0.02721824482883129,0.5910112425298827,0.0007282336377992891,-3.4703516142194735,0.02921041355896072,0.0,0.0,0.0,0.0,0.0,0.0
1124,0.02218794580615206,0.024712445315675093,0.02723694482519813,0.5906840846069991,0.0007303606507977384,-3.4571186707379824,0.029274082664787406,0.0,0.0,0.0,0.0,0.0,0.0
