,Z,T,Kn,n,Qimpact
mean,6.636804137171165,2205.480397200812,-0.021059402997174365,1.1216352065074557e+21,27122346581215.434
std,11.862871646028093,688.0614779984329,0.051319695292802704,1.6916211197733658e+21,24775103321181.047
