,x,Te,Zbar,ne
0,0.01,2550.1904934791014,1.9991841255365097,4.671631666205511e+20
1,0.0104500112502812,2550.145819160827,1.9991839673140657,4.67317663286949e+20
2,0.0109000225005625,2550.0995743609865,1.9991838115552392,4.674772555754659e+20
3,0.0113500337508437,2550.051675548195,1.9991836596774708,4.6764141007168025e+20
4,0.011800045001125,2550.002033003999,1.9991835123886432,4.678095890434624e+20
5,0.0122500562514062,2549.9505570094216,1.999183370396579,4.6798125475831926e+20
6,0.0127000675016875,2549.8971578454907,1.999183234409101,4.681558694837583e+20
7,0.0131500787519687,2549.8417454727046,1.9991831044760573,4.68332903452488e+20
8,0.01360009000225,2549.784227414231,1.999182975643979,4.685118874654653e+20
9,0.0140501012525313,2549.7245100734585,1.9991828406607248,4.686923801504752e+20
10,0.0145001125028125,2549.662499847884,1.999182692262054,4.688739402818085e+20
11,0.0149501237530938,2549.5981031350016,1.9991825231837244,4.690561266337574e+20
12,0.015400135003375,2549.5312258036,1.9991823269536704,4.692384825905331e+20
13,0.0158501462536563,2549.4617666252925,1.999182107733815,4.694203449434851e+20
14,0.0163001575039376,2549.389619296677,1.9991818772901708,4.696009027547813e+20
15,0.0167501687542188,2549.3146774044035,1.9991816475535,4.69779341885898e+20
16,0.0172001800045001,2549.2368345351138,1.999181430454564,4.699548481983123e+20
17,0.0176501912547813,2549.1559858730184,1.9991812375953784,4.70126631030622e+20
18,0.0181002025050626,2549.072070225698,1.999181071601126,4.7029454079259306e+20
19,0.0185502137553438,2548.985074227244,1.999180925255236,4.704591307327335e+20
20,0.0190002250056251,2548.894986952168,1.9991807908389472,4.706209899629652e+20
21,0.0194502362559063,2548.8017974749846,1.999180660633499,4.707807075952094e+20
22,0.0199002475061876,2548.7054952133835,1.999180526973592,4.70938875287842e+20
23,0.0203502587564689,2548.606092647427,1.99918038578681,4.710962558258646e+20
24,0.0208002700067501,2548.503639502431,1.9991802388031588,4.712538883603022e+20
25,0.0212502812570314,2548.398188889396,1.9991800882801016,4.714128371644871e+20
26,0.0217002925073126,2548.289793919317,1.9991799364750988,4.715741665117519e+20
27,0.0221503037575939,2548.1785076198166,1.9991797856404507,4.7173893850261815e+20
28,0.0226003150078751,2548.0643672317065,1.999179637051035,4.719078038146073e+20
29,0.0230503262581564,2547.947375658397,1.9991794898557675,4.720805182519873e+20
30,0.0235003375084377,2547.8275312913656,1.9991793429242155,4.722567200327763e+20
31,0.0239503487587189,2547.704832522088,1.999179195125943,4.724360473749914e+20
32,0.0244003600090002,2547.579277750723,1.999179045331575,4.726181386108311e+20
33,0.0248503712592814,2547.4508721473467,1.999178893236824,4.728027211692267e+20
34,0.0253003825095627,2547.3196397698302,1.9991787408393664,4.72989771054976e+20
35,0.0257503937598439,2547.1856079442728,1.9991785905351984,4.731793072849716e+20
36,0.0262004050101252,2547.0488039967736,1.999178444720314,4.733713488761128e+20
37,0.0266504162604065,2546.9092552534244,1.9991783057906356,4.735659148446337e+20
38,0.0271004275106877,2546.7669887948173,1.999178174142496,4.737630061814596e+20
39,0.027550438760969,2546.622030815039,1.999178042951621,4.739625587873072e+20
40,0.0280004500112502,2546.4744073081424,1.999177903764468,4.74164493875805e+20
41,0.0284504612615315,2546.32414426818,1.9991777481274893,4.743687326605647e+20
42,0.0289004725118127,2546.1712676892057,1.9991775675871373,4.745751963551979e+20
43,0.029350483762094,2546.0158036231505,1.9991773569009144,4.7478380799889074e+20
44,0.0298004950123753,2545.857778393708,1.999177125902928,4.7499449920231886e+20
45,0.0302505062626565,2545.697218404261,1.999176888848268,4.752072040896168e+20
46,0.0307005175129378,2545.5341500582017,1.9991766599926035,4.754218567852452e+20
47,0.031150528763219,2545.3685997589223,1.9991764535915968,4.756383914136646e+20
48,0.0316005400135003,2545.2005936984147,1.9991762808881604,4.758567475068138e+20
49,0.0320505512637815,2545.030156772345,1.99917613465064,4.760768977559016e+20
50,0.0325005625140628,2544.857313385262,1.9991760006482315,4.762988274146422e+20
51,0.0329505737643441,2544.682087940782,1.9991758646368716,4.765225217605508e+20
52,0.0334005850146253,2544.5045048425227,1.999175712372494,4.767479660711425e+20
53,0.0338505962649066,2544.3245867445125,1.9991755313452204,4.769751281967955e+20
54,0.0343006075151878,2544.142342128064,1.9991753230931075,4.772038348177099e+20
55,0.0347506187654691,2543.957772601377,1.9991750959668104,4.774338441530928e+20
56,0.0352006300157503,2543.77087972737,1.9991748583618705,4.776649139710691e+20
57,0.0356506412660316,2543.581665068961,1.9991746186738315,4.77896802039764e+20
58,0.0361006525163129,2543.3901313833267,1.999174384722306,4.781293127885676e+20
59,0.0365506637665941,2543.1962944613706,1.9991741580414653,4.783627598887529e+20
60,0.0370006750168754,2543.000178116242,1.9991739362967909,4.785977704497267e+20
61,0.0374506862671566,2542.801806278448,1.9991737170971664,4.788349761663144e+20
62,0.0379006975174379,2542.6012028785008,1.9991734980514773,4.7907500873334286e+20
63,0.0383507087677191,2542.3983915365743,1.9991732768961556,4.793184911511442e+20
64,0.0388007200180004,2542.19339154805,1.9991730531451,4.7956592525400873e+20
65,0.0392507312682817,2541.9862190349018,1.9991728276164653,4.798177239682061e+20
66,0.0397007425185629,2541.7768900459905,1.9991726011584563,4.800742981715447e+20
67,0.0401507537688442,2541.565420630174,1.9991723746192784,4.803360587418324e+20
68,0.0406007650191254,2541.3518256607663,1.999172148789596,4.806033842801635e+20
69,0.0410507762694067,2541.136102371724,1.9991719235966767,4.808761690672836e+20
70,0.0415007875196879,2540.91823439272,1.9991716983018977,4.811539338537735e+20
