t[s],p2[Pa]
0,96600
30,54600
60,19100
90,5100
120,1480
150,551
180,272
210,186
240,148
270,144
300,144
330,136
360,138
390,130
420,128
450,133
480,126
510,130
540,127
570,127
600,122
630,117
660,116
690,118
720,115
750,115
780,112
810,114
840,109
870,109
900,107
