"link-primary","link-primary href","Tag","SearchResultCard__footerItem","Tag 2","Tag 3"
"Junior účetní do moderní společnosti","https://www.jobs.cz/rpd/1625067629/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","","Talentem s.r.o.","40 000 ‍–‍ 50 000 Kč",""
"Projektový manager junior","https://www.jobs.cz/rpd/1625238093/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","EP Cargo a.s.","",""
"Junior konzultant/Intern - tým Pojišťovnictví","https://www.jobs.cz/rpd/1611690828/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Možnost občasné práce z domova","EY","",""
"Junior analytik pro Finanční oddělení","https://www.jobs.cz/rpd/1619556726/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","","EY","",""
"Junior účetní","https://www.jobs.cz/rpd/1619880745/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","","HR Advisors CZ s.r.o.","40 000 ‍–‍ 45 000 Kč",""
"Junior operations executive v Mystery Shoppingu","https://www.jobs.cz/rpd/1626280246/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","IPSOS s.r.o.","","Možnost občasné práce z domova"
"Project Manager Junior v Invia.cz","https://www.jobs.cz/rpd/1624804436/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Invia.cz, a.s.","","Možnost občasné práce z domova"
"JUNIOR ÚČETNÍ / Praha 9 - Kyje","https://www.jobs.cz/rpd/2000045297/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Schubert partner a.s.","30 000 Kč",""
"Portuguese Junior Payroll Specialist","https://www.jobs.cz/rpd/1623089530/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Možnost občasné práce z domova","ADP Employer Services Česká republika, a.s.","",""
"Junior mzdový/á účetní Praha","https://www.jobs.cz/rpd/1620934831/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Accace Outsourcing s.r.o.","","Možnost občasné práce z domova"
"Junior - AS4S00 Developer","https://www.jobs.cz/rpd/1625781494/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","NN","","Práce převážně z domova"
"Síťový správce junior","https://www.jobs.cz/rpd/1616145317/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","Operátor ICT, a. s.","",""
"Windows Junior správce","https://www.jobs.cz/rpd/1616148220/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","Operátor ICT, a. s.","",""
"Junior HR Specialist - příležitost v interním HR","https://www.jobs.cz/rpd/1626601694/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","CoolPeople a.s.","35 000 ‍–‍ 45 000 Kč","Možnost občasné práce z domova"
"Junior KAM / KAM","https://www.jobs.cz/rpd/1623469975/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","HENKEL ČR, spol. s r.o.","","Možnost občasné práce z domova"
"Junior Financial Specialist - farmaceutická společnost","https://www.jobs.cz/rpd/1623030673/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","Pharmonia s.r.o.","42 000 ‍–‍ 50 000 Kč",""
"Sales Analyst [junior position]","https://www.jobs.cz/rpd/2000043507/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","Mölnlycke Health Care, s.r.o.","","Práce převážně z domova"
"Junior IT Application Consultant","https://www.jobs.cz/rpd/1624261941/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","","Consultech Recruitment Services s.r.o.","45 000 ‍–‍ 70 000 Kč",""
"Finanční specialista (junior) m/ž","https://www.jobs.cz/rpd/2000045121/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","","Fielmann s.r.o.","",""
"TECHNOLOG JUNIOR / LABORANT  - Zdravá & Sportovní Výživa","https://www.jobs.cz/rpd/1625692483/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","RoseMed Holding s.r.o.","",""
"Finanční účetní - junior","https://www.jobs.cz/rpd/1626628083/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","Grant Thornton Czech Republic a.s.","","Možnost občasné práce z domova"
"Přípravář - příležitost pro juniory","https://www.jobs.cz/rpd/1624006778/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","CREDITAS Real Estate Management s.r.o.","","Možnost občasné práce z domova"
"Tester/Analytik Termovizních Systémů - junior/senior","https://www.jobs.cz/rpd/2000048387/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","","Workswell s.r.o.","40 000 ‍–‍ 65 000 Kč",""
"Finanční Analytik Junior","https://www.jobs.cz/rpd/1626551266/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","EP Cargo Invest a.s.","","Možnost občasné práce z domova"
"Servisní/montážní technik – vhodné i pro juniory","https://www.jobs.cz/rpd/1626547913/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","PŘEDVÝBĚR.CZ s.r.o.","30 000 ‍–‍ 40 000 Kč","Odpovězte teď a budete mezi prvními"
"Junior IT Delivery Specialist","https://www.jobs.cz/rpd/1625260844/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","RWE Gas Storage CZ, s.r.o.","","Možnost občasné práce z domova"
"účetní – junior","https://www.jobs.cz/rpd/1623215426/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","Lagerris a.s.","35 000 ‍–‍ 40 000 Kč",""
"Junior learning &  development specialist","https://www.jobs.cz/rpd/1626452449/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","Vodafone Czech Republic a.s.","","Práce převážně z domova"
"Content specialist junior/medior ve sportovním sázení","https://www.jobs.cz/rpd/1626435711/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Možnost občasné práce z domova","Talentem s.r.o.","40 000 ‍–‍ 45 000 Kč","Odpovězte teď a budete mezi prvními"
"Junior IT Supply Chain Consultant - German language","https://www.jobs.cz/rpd/1611479463/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","PricewaterhouseCoopers Česká republika, s.r.o.","","Možnost občasné práce z domova"
"Marketingový specialista (Junior)","https://www.jobs.cz/rpd/2000047142/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","","Nikon Europe B.V., český odštěpný závod","",""
"Junior Business Development Manager / Junior Sales","https://www.jobs.cz/rpd/1626380479/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","","Natek","1 300 ‍–‍ 2 200 EUR",""
"JUNIOR SPECIALISTA DPH","https://www.jobs.cz/rpd/1613459137/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","","PHOENIX lékárenský velkoobchod, s.r.o.","",""
"JUNIOR AKVIZIČNÍ SPECIALISTA","https://www.jobs.cz/rpd/1625076714/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpovězte teď a budete mezi prvními","BADGERS - Development Professionals, s.r.o.","",""
"Junior Technik optických sítí","https://www.jobs.cz/rpd/1626364008/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","","ManpowerGroup s.r.o.","",""
