"link-primary","link-primary href","CompanyLogo src","SearchResultCard__status","SearchResultCard__favoriteLink href","Tag","SearchResultCard__footerItem","SearchResultCard__footerItem 2","SearchResultCard__favoriteLink href 2"
"Pracujte s daty v Komerční bance!","https://www.jobs.cz/rpd/1589825232/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=deaf34d0-9393-4265-9823-dcee961fd65b&v=1580384178111&width=180","7. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1589825232","Odpověď do 2 týdnů","Komerční banka, a.s.","Jihomoravský kraj","[object Object]"
"Pracujte s daty v Komerční bance!","https://www.jobs.cz/rpd/1608416278/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=deaf34d0-9393-4265-9823-dcee961fd65b&v=1580384178111&width=180","7. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1608416278","Odpověď do 2 týdnů","Komerční banka, a.s.","Praha – Stodůlky","[object Object]"
"Data mining DNOX - datový analytik/-tička","https://www.jobs.cz/rpd/1602711176/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=b5cdc52a-c999-4d2b-b1ee-a4e9398a9ff1&v=1629205169045&width=180","29. června","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1602711176","","Bosch České Budějovice","České Budějovice – České Budějovice 3","[object Object]"
"Business data governance - Data analyst/developer","https://www.jobs.cz/rpd/1625524309/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=ba8dd34c-911a-4cf4-8ecb-7586685d2949&v=1674740762523&width=180","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1625524309","Možnost občasné práce z domova","Česká spořitelna, a.s.","Praha","[object Object]"
"Data Architect– Technology Consulting","https://www.jobs.cz/rpd/1611583309/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=6263c4ce-5c69-42d6-bc34-c7e32f639c93&v=1609841967022&width=180","20. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1611583309","Odpověď do 2 týdnů","PricewaterhouseCoopers Česká republika, s.r.o.","Praha – Nusle","[object Object]"
"Data Management –⁠ Associate Consultant","https://www.jobs.cz/rpd/1499230507/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=eb04d078-7bea-4923-915f-ff7c21feeae5&v=1599556922460&width=180","20. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1499230507","Odpověď do 2 týdnů","KPMG Česká republika, s.r.o.","Praha – Karlín","[object Object]"
"Data Engineer","https://www.jobs.cz/rpd/1621779449/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=240c73c2-100b-4540-a11f-28de1243cf5e&v=1643282390028&width=180","30. června","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1621779449","Odpověď do 2 týdnů","ČEZ, a. s.","Praha – Michle","[object Object]"
"Solution Data Architect – Technology Consulting","https://www.jobs.cz/rpd/1615873212/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=6263c4ce-5c69-42d6-bc34-c7e32f639c93&v=1609841967022&width=180","Aktualizováno dnes","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1615873212","Odpověď do 2 týdnů","PricewaterhouseCoopers Česká republika, s.r.o.","Praha – Nusle","[object Object]"
"AI Intern - Data Engineering (DPČ)","https://www.jobs.cz/rpd/1625687236/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","","17. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1625687236","Práce převážně z domova","Deutsche Telekom Services Europe Czech Republic s.r.o.","Brno – Štýřice","[object Object]"
"Data architekt","https://www.jobs.cz/rpd/1617938084/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","","10. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1617938084","Odpověď do 2 týdnů","SAZKA a.s.","Praha – Vokovice","[object Object]"
