"link-primary","link-primary href","SearchResultCard__status","SearchResultCard__favoriteLink href","SearchResultCard__footerItem","SearchResultCard__footerItem 2","CompanyLogo src","SearchResultCard__favoriteLink href 2","Tag 2"
"Customer onboarding specialist","https://www.jobs.cz/rpd/1626118858/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","Přidáno včera","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1626118858","Thales DIS Czech Republic s.r.o.","Praha – Michle","https://my.teamio.com/recruit/logo?id=d43cb6b9-c127-4e25-8b39-953286550276&v=1580221595961&width=180","[object Object]",""
"Senior Infrastructure Engineer - VMware","https://www.jobs.cz/rpd/1626626715/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1626626715","DHL Information Services (Europe) s.r.o.","Praha – Chodov","https://my.teamio.com/recruit/logo?id=effa02ee-5c15-4c17-b520-0d6ea479d66a&v=1598878742245&width=180","[object Object]",""
"Senior Cisco Security Support Engineer","https://www.jobs.cz/rpd/1625325691/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1625325691","ANECT a.s.","Praha + 1 další lokalita","","[object Object]","Možnost občasné práce z domova"
"Softwarový Designer pro Termovizní Systémy","https://www.jobs.cz/rpd/1619542673/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1619542673","Workswell s.r.o.","Praha – Veleslavín","","[object Object]","Možnost občasné práce z domova"
"IT konzultant pro správu elektronických dokumentů v ERP SAP","https://www.jobs.cz/rpd/1621133710/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1621133710","IXTENT s.r.o.","Praha – Holešovice","","[object Object]",""
"Infrastructure Engineer","https://www.jobs.cz/rpd/1622320295/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1622320295","Seznam.cz, a.s.","Praha – Smíchov","https://my.teamio.com/recruit/logo?id=a29b0a80-6b1c-4330-aa28-d0f74ffc1b41&v=1599573115267&width=180","[object Object]","Možnost občasné práce z domova"
"Tribe Lead","https://www.jobs.cz/rpd/1626130989/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1626130989","Konplan s.r.o.","Praha – Nové Město + 1 další lokalita","","[object Object]","Možnost občasné práce z domova"
"DevOps Engineer (m/f/d)","https://www.jobs.cz/rpd/1624344484/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1624344484","Viessmann","Praha – Nové Město","https://my.teamio.com/recruit/logo?id=adf19ef6-4d0c-49fa-88b5-611c7eff8d0c&v=1653038381359&width=180","[object Object]","Práce převážně z domova"
"Network Security Engineer","https://www.jobs.cz/rpd/1626530221/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1626530221","Alpiq Services CZ s.r.o.","Praha – Nové Město","","[object Object]","Možnost občasné práce z domova"
"Infrastructure Security Engineer","https://www.jobs.cz/rpd/1626530227/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1626530227","Alpiq Services CZ s.r.o.","Praha – Nové Město","","[object Object]","Možnost občasné práce z domova"
"Testování technologie FTTH (optika) -  pro studenty VŠ","https://www.jobs.cz/rpd/1626087759/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1626087759","CETIN a.s.","Praha – Libeň","https://my.teamio.com/recruit/logo?id=3678504c-aaaf-477b-80df-56bc82cd2ea4&v=1641366826142&width=180","[object Object]","Možnost občasné práce z domova"
"Senior Cloud Infrastructure Engineer","https://www.jobs.cz/rpd/1625262149/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","20. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1625262149","Alpiq Services CZ s.r.o.","Praha – Nové Město","","[object Object]","Možnost občasné práce z domova"
