"link-primary","link-primary href","Tag","SearchResultCard__footerItem","Tag 2","Tag 3"
"Specialista/ka nákupu - JUNIOR/SENIOR","https://www.jobs.cz/rpd/1626598847/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=228","Možnost občasné práce z domova","ČEPS, a.s.","",""
"Obchodník Junior (m/ž)","https://www.jobs.cz/rpd/1625342720/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=228","Odpověď do 2 týdnů","O2 Czech Republic a.s.","60 000 ‍–‍ 80 000 Kč","Možnost občasné práce z domova"
"Specialista/ka provozních činností VVN - JUNIOR","https://www.jobs.cz/rpd/1620027950/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=228","","ČEPS, a.s.","",""
"Python developer of test automatization for infotainment app","https://www.jobs.cz/rpd/1621012830/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Digiteq Automotive s.r.o.","",""
"Python Developer","https://www.jobs.cz/rpd/1625567351/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Universal Production Partners, a.s.","",""
"Python Developer (f/m/d)","https://www.jobs.cz/rpd/1623203499/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Porsche Engineering Services, s.r.o.","","Možnost občasné práce z domova"
"Python Developer","https://www.jobs.cz/rpd/1616252965/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","PricewaterhouseCoopers Česká republika, s.r.o.","","Možnost občasné práce z domova"
"Python Backend Team Lead | fintech startup","https://www.jobs.cz/rpd/1623517255/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Možnost občasné práce z domova","Skip Pay s.r.o.","",""
"HiL SW Automation Developer Python - Prague (f/m/d)","https://www.jobs.cz/rpd/1571493804/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Porsche Engineering Services, s.r.o.","","Možnost občasné práce z domova"
"Umělá inteligence  - Python vývojář -  startup z USA","https://www.jobs.cz/rpd/1594416698/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Luxonis","70 000 ‍–‍ 130 000 Kč","Práce převážně z domova"
"Software Tool Developer - Python","https://www.jobs.cz/rpd/1603511637/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Možnost občasné práce z domova","VALEO PRAHA","",""
"Test Engineer - Python/EXAM","https://www.jobs.cz/rpd/1613503525/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","AUFEER DESIGN, s.r.o.","60 000 ‍–‍ 90 000 Kč","Možnost občasné práce z domova"
"SW Backend Developer with Python","https://www.jobs.cz/rpd/1625903195/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Možnost občasné práce z domova","VALEO PRAHA","60 000 ‍–‍ 100 000 Kč",""
