"link-primary","link-primary href","Tag","SearchResultCard__footerItem","Tag 2","Tag 3"
"Python Developer pro AI tým - brigáda","https://www.jobs.cz/rpd/1625069582/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Generali Česká pojišťovna","","Práce převážně z domova"
"Senior Developer - Python, Jenkins, Java","https://www.jobs.cz/rpd/1622858214/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","","KBC Global Services NV","",""
"Team Leader – Backend development (Python)","https://www.jobs.cz/rpd/1618399644/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","GIT Consult Czech s.r.o.","","Práce převážně z domova"
"Programátor junior","https://www.jobs.cz/rpd/2000048072/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Možnost občasné práce z domova","eYello CZ, k.s.","",""
"Test Engineer for Siemens junior/absolvent with C#","https://www.jobs.cz/rpd/1601288046/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Siemens s.r.o.","","Možnost občasné práce z domova"
"Linux správce junior","https://www.jobs.cz/rpd/1616146883/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Operátor ICT, a. s.","",""
"Junior Trading Analyst (Energy Trading)","https://www.jobs.cz/rpd/1587603894/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Sev.en Commodities AG, odštěpný závod","",""
"XiL Simulation Engineer Junior/Senior (f/m/d)","https://www.jobs.cz/rpd/1593878646/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Porsche Engineering Services, s.r.o.","","Možnost občasné práce z domova"
"Test Automation Engineer (junior/senior), Cisco","https://www.jobs.cz/rpd/2000047869/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Práce převážně z domova","BPO Europe, s.r.o.","","Odpovězte teď a budete mezi prvními"
"Junior Product Owner(ka)","https://www.jobs.cz/rpd/2000045591/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","","GymBeam s.r.o.","1 400 ‍–‍ 1 800 EUR",""
"Junior - IoT Assets Integration tester","https://www.jobs.cz/rpd/1626368572/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Siemens s.r.o.","","Možnost občasné práce z domova"
"Front-End Developer (junior)","https://www.jobs.cz/rpd/1625228810/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Digiteq Automotive s.r.o.","",""
"Cyber security engineer/manager i junior (až 140.000 Kč)","https://www.jobs.cz/rpd/1614376013/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Práce převážně z domova","Jobs Contact Personal, s.r.o.","70 000 ‍–‍ 140 000 Kč",""
"pozice na míru pro IT ADMINISTRÁTORY (od juniorů po seniory)","https://www.jobs.cz/rpd/1625269152/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","TOTAL SERVICE a.s.","","Možnost občasné práce z domova"
"Realitní makléř Junior","https://www.jobs.cz/rpd/1626498767/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Možnost občasné práce z domova","Duna House","80 000 ‍–‍ 120 000 Kč",""
"Junior účetní","https://www.jobs.cz/rpd/2000047807/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","","PBW GROUP s.r.o.","40 000 ‍–‍ 50 000 Kč",""
"ÚČETNÍ - junior/senior","https://www.jobs.cz/rpd/2000049449/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","KHYPO s.r.o.","",""
"Junior Key Account Management","https://www.jobs.cz/rpd/1622715110/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","","S.C.Johnson s.r.o.","",""
"KAM Junior - FMCG  (ž/m)","https://www.jobs.cz/rpd/1626308756/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","NO77 s.r.o.","",""
"Prodejce nákladních vozidel junior","https://www.jobs.cz/rpd/1622759094/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","Daimler Truck Česká republika s.r.o.","","Možnost občasné práce z domova"
"Junior účetní do moderní společnosti","https://www.jobs.cz/rpd/1625067629/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","","Talentem s.r.o.","40 000 ‍–‍ 50 000 Kč",""
"Projektový manager junior","https://www.jobs.cz/rpd/1625238093/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Odpověď do 2 týdnů","EP Cargo a.s.","",""
"Junior konzultant/Intern - tým Pojišťovnictví","https://www.jobs.cz/rpd/1611690828/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","Možnost občasné práce z domova","EY","",""
"Junior analytik pro Finanční oddělení","https://www.jobs.cz/rpd/1619556726/?searchId=49b69312-79fc-4460-a1e4-9ae66981e681&rps=233","","EY","",""
