Mass	Value
8,313	1,595780E-08
8,344	1,378687E-08
8,375	1,135305E-08
8,406	8,853257E-09
8,438	6,640475E-09
8,469	5,021053E-09
8,500	4,085975E-09
8,531	3,687513E-09
8,563	3,546835E-09
8,594	3,458904E-09
8,625	3,405544E-09
8,656	3,434892E-09
8,688	3,508299E-09
8,719	3,542140E-09
8,750	3,500224E-09
8,781	3,362164E-09
8,813	3,093205E-09
8,844	2,694295E-09
8,875	2,234635E-09
8,906	1,829879E-09
8,938	1,562033E-09
8,969	1,413596E-09
9,000	1,315871E-09
9,031	1,205183E-09
9,063	1,029095E-09
9,094	7,848105E-10
9,125	5,280941E-10
9,156	3,232638E-10
9,188	2,111632E-10
9,219	1,867344E-10
9,250	2,012087E-10
9,281	2,189224E-10
9,313	2,467703E-10
9,344	3,036863E-10
9,375	4,214798E-10
9,406	6,443050E-10
9,438	9,490095E-10
9,469	1,206962E-09
9,500	1,300626E-09
9,531	1,244972E-09
9,563	1,131039E-09
9,594	9,980731E-10
9,625	8,300198E-10
9,656	6,604727E-10
9,688	6,026686E-10
9,719	7,082998E-10
9,750	8,822456E-10
9,781	1,037303E-09
9,813	1,168648E-09
9,844	1,223542E-09
9,875	1,120473E-09
9,906	8,559104E-10
9,938	4,555011E-10
9,969	0,000000E+00
10,000	0,000000E+00
10,031	0,000000E+00
10,063	0,000000E+00
10,094	0,000000E+00
10,125	0,000000E+00
10,156	0,000000E+00
10,188	0,000000E+00
10,219	0,000000E+00
10,250	0,000000E+00
10,281	0,000000E+00
10,313	1,081496E-10
10,344	5,460870E-10
10,375	1,071080E-09
10,406	1,412875E-09
10,438	1,505954E-09
10,469	1,475170E-09
10,500	1,431580E-09
10,531	1,360392E-09
10,563	1,165501E-09
10,594	8,373221E-10
10,625	5,318993E-10
10,656	4,210117E-10
10,688	5,079292E-10
10,719	6,441412E-10
10,750	6,987476E-10
10,781	6,401274E-10
10,813	4,710608E-10
10,844	1,999413E-10
10,875	0,000000E+00
10,906	0,000000E+00
10,938	0,000000E+00
10,969	0,000000E+00
11,000	0,000000E+00
