,Z,T,gradT,Kn,n,Qimpact
mean,1.5620439015653342,448.79743678358216,-1.4564614048140358e-11,0.0020107222805242136,7.1358232873123435e+25,2545514449429.6177
std,5.442525851327788,877.7993252936742,13378.181978939389,0.01684200891606694,1.544280814168644e+26,10940110702490.406
