,Z,T,gradT,Kn,n,Qimpact
mean,1.5619186533115994,448.7637756892751,-5.506353772943839e-12,0.002010368849610441,7.137958759424515e+25,2545324753256.3506
std,5.442504832999748,877.807931147125,13369.656041858621,0.016842049969653102,1.5447838159151811e+26,10940132556909.533
