,alpha0,alpha1,alpha2,alpha3,alpha4
0,0.11506371508340071,109.59507520256007,-9999.99999987143,0.0,0.0
1,0.18949578625378335,61.215090342429995,-2158.380302450148,0.0,0.0
2,0.1800941701022511,61.545210526447875,-1843.2567739173774,0.0,0.0
3,0.14720947180520966,73.17823915994995,-2851.803414868699,0.0,0.0
4,0.13363282077255678,77.45152428988274,-3164.8699096568666,0.0,0.0
5,0.14776157292119113,74.98679767652378,-3057.0500390265784,0.0,0.0
6,0.3077606370955499,49.05704828723287,-2005.6876000536392,0.0,0.0
7,0.4531102222130047,28.44142601274264,-1274.4214797648472,0.0,0.0
8,0.6829167011063129,0.3760973452282655,-417.2516108387782,0.0,0.0
9,1.0448729397759355,-41.2126326059274,776.6343916339491,0.0,0.0
10,1.2071844742334508,-57.8320660907754,1201.8422647205864,0.0,0.0
11,0.7771803773846814,-18.491557525641472,301.9233785492379,0.0,0.0
12,0.8338523109227777,-23.05968318862054,393.7669938185638,0.0,0.0
13,0.8119477860553982,-21.445082868303697,364.15278248185774,0.0,0.0
14,0.7495273033719789,-16.86297392909569,280.0502144665621,0.0,0.0
15,0.7080652109131929,-14.021489319324182,231.36012798070539,0.0,0.0
16,0.6599693241230202,-10.926525846046527,181.56554648462424,0.0,0.0
17,0.4922789340266082,-0.8565619663240422,30.388122011912888,0.0,0.0
18,0.5490019247052055,-4.002178240861895,73.9500186018846,0.0,0.0
19,0.623100694782894,-8.137352195880908,131.62069391021757,0.0,0.0
20,0.5486806289621536,-4.242265363307564,80.65454602030485,0.0,0.0
21,0.2439704295521909,10.875776264245275,-106.86301071792855,0.0,0.0
22,0.40545301408722567,3.278377198743161,-17.50224145023345,0.0,0.0
23,0.3938195890891724,3.791015427675831,-23.145775947374084,0.0,0.0
24,0.387430816274498,4.068027843447808,-26.14918553469852,0.0,0.0
25,0.3832458636667939,4.248098412337178,-28.084876603484922,0.0,0.0
26,0.37540097944680306,4.569793456918653,-31.38157221914483,0.0,0.0
27,0.16273756386646612,12.822563174674023,-111.44672219126954,0.0,0.0
28,0.4628075465965298,1.6562402706228427,-7.565066643072224,0.0,0.0
29,0.6341889047109206,-4.4881376921695875,47.507208134459134,0.0,0.0
30,0.557425931465074,-1.8695223048716478,25.186436855924278,0.0,0.0
31,0.4317336593999841,2.4418134136835894,-11.779001952527747,0.0,0.0
32,0.562809437245587,-1.8853287128064657,23.932954120342085,0.0,0.0
33,0.5369790396786998,-1.0606550620308008,17.350787426999386,0.0,0.0
34,0.5225764079122257,-0.6170292267768501,13.934730401401723,0.0,0.0
35,0.487305011347204,0.4343863177235631,6.0994640577460455,0.0,0.0
36,0.4163096428526373,2.4915947143122157,-8.803057558220607,0.0,0.0
37,0.3579191310974035,4.157206901094263,-20.681695834468727,0.0,0.0
38,0.30052454560101166,5.759204743680416,-31.860215460645218,0.0,0.0
39,0.17351651465019347,9.208314175772655,-55.27619296602534,0.0,0.0
40,0.19460367537686282,8.653655489053712,-51.62871847191566,0.0,0.0
41,0.2053160581963425,8.37546841167777,-49.82276231865668,0.0,0.0
42,0.19080579221710994,8.730708633668259,-51.99571813784597,0.0,0.0
43,0.1580221909708248,9.524056786830442,-56.794846523062205,0.0,0.0
44,0.1652688633430019,9.361782173358183,-55.89103407262723,0.0,0.0
45,0.20109349202488122,8.514830296623604,-50.88561417578961,0.0,0.0
46,-0.34910503354469513,21.19658039164425,-123.96132078780187,0.0,0.0
47,1.2660623182723945,-15.106205363452531,80.025692420755,0.0,0.0
48,0.9551732069972781,-8.283503220003881,42.59332821454643,0.0,0.0
49,-0.5286042097950505,23.550346058532984,-128.15114610033208,0.0,0.0
50,-0.6863980695189108,26.919975096104896,-146.1393440066101,0.0,0.0
51,-0.6886183154099147,26.94860191649326,-146.19799767816318,0.0,0.0
52,-0.875677973468868,30.7895177327607,-165.91308189560215,0.0,0.0
53,-1.1371950435294291,36.056717260132466,-192.43235746490885,0.0,0.0
54,-1.1000505535879712,35.34321616260843,-189.00682575289173,0.0,0.0
