,Start,Center,End,alphaC,alphaC_std,alphaN,alphaN_std
26,0.0016553497953647025,0.004179849304887738,0.006704348814410774,[ 1.78951343e-01  6.39461129e+01 -2.21067508e+03],[1.01876383e-03 4.84395116e-01 5.41364647e+01],[0. 0.],[0. 0.]
27,0.0016740497917315396,0.004198549301254575,0.0067230488107776105,[ 1.79559725e-01  6.36678986e+01 -2.18061536e+03],[1.00326930e-03 4.75079147e-01 5.28931187e+01],[0. 0.],[0. 0.]
28,0.001692749788098377,0.004217249297621413,0.006741748807144449,[ 1.80154526e-01  6.33976441e+01 -2.15158536e+03],[9.87715339e-04 4.65808580e-01 5.16640715e+01],[0. 0.],[0. 0.]
29,0.0017114497844652144,0.00423594929398825,0.006760448803511286,[ 1.80737669e-01  6.31343209e+01 -2.12346136e+03],[9.72110452e-04 4.56587047e-01 5.04495775e+01],[0. 0.],[0. 0.]
30,0.0017301497808320516,0.004254649290355087,0.0067791487998781225,[ 1.81309068e-01  6.28779065e+01 -2.09623334e+03],[9.56463774e-04 4.47418371e-01 4.92499044e+01],[0. 0.],[0. 0.]
31,0.0017488497771988888,0.004273349286721925,0.006797848796244959,[ 1.81867911e-01  6.26287341e+01 -2.06993079e+03],[9.40785647e-04 4.38306936e-01 4.80653814e+01],[0. 0.],[0. 0.]
32,0.0017675497735657262,0.004292049283088762,0.006816548792611798,[ 1.82414621e-01  6.23865272e+01 -2.04451540e+03],[9.25086808e-04 4.29257130e-01 4.68963260e+01],[0. 0.],[0. 0.]
33,0.0017862497699325636,0.004310749279455599,0.0068352487889786345,[ 1.82948754e-01  6.21514356e+01 -2.01999624e+03],[9.09380095e-04 4.20274400e-01 4.57431756e+01],[0. 0.],[0. 0.]
34,0.0018049497662994008,0.004329449275822437,0.006853948785345471,[ 1.83471647e-01  6.19227464e+01 -1.99628766e+03],[8.93677454e-04 4.11363482e-01 4.46062717e+01],[0. 0.],[0. 0.]
35,0.001823649762666238,0.004348149272189274,0.00687264878171231,[ 1.83980693e-01  6.17016538e+01 -1.97351340e+03],[8.77993701e-04 4.02530518e-01 4.34861114e+01],[0. 0.],[0. 0.]
36,0.0018423497590330754,0.00436684926855611,0.0068913487780791465,[ 1.84477585e-01  6.14872730e+01 -1.95156922e+03],[8.62343470e-04 3.93781409e-01 4.23831557e+01],[0. 0.],[0. 0.]
37,0.0018610497553999128,0.004385549264922949,0.006910048774445983,[ 1.84962996e-01  6.12792208e+01 -1.93040673e+03],[8.46743253e-04 3.85122787e-01 4.12979360e+01],[0. 0.],[0. 0.]
