,xc,alpha0,alpha1,alpha2,alpha3,alpha4
0,0.0021041497081687975,0.15881134595666144,66.44848067547545,0.0,0.0,0.0
1,0.003974149344852528,0.22338373779241325,43.95475298158231,0.0,0.0,0.0
2,0.005844148981536257,0.24275910973140877,39.95891819058408,0.0,0.0,0.0
3,0.007714148618219988,0.31645464304561893,29.131989838219294,0.0,0.0,0.0
4,0.009584148254903717,0.4239299760492531,16.7335800299789,0.0,0.0,0.0
5,0.011454147891587448,0.5485923826725612,4.898858371313426,0.0,0.0,0.0
6,0.013324147528271178,0.6637855017054723,-4.431076437093636,0.0,0.0,0.0
7,0.015194147164954907,0.7473509225560732,-10.312103867458047,0.0,0.0,0.0
8,0.017064146801638636,0.804437541491856,-13.872464725678446,0.0,0.0,0.0
9,0.018934146438322367,0.76643138823295,-11.790019271916723,0.0,0.0,0.0
10,0.020804146075006098,0.6870820820544571,-7.81203896383598,0.0,0.0,0.0
11,0.02267414571168983,0.6219985349360528,-4.797829486446502,0.0,0.0,0.0
12,0.02454414534837356,0.5967154493337935,-3.7286941246166636,0.0,0.0,0.0
13,0.02641414498505729,0.5579675085458434,-2.2069730134627497,0.0,0.0,0.0
14,0.028284144621741017,0.5255769269497664,-1.0212339690997538,0.0,0.0,0.0
15,0.030154144258424748,0.4977819774357692,-0.06917909960559719,0.0,0.0,0.0
16,0.03202414389510848,0.473843511497216,0.7016527152879204,0.0,0.0,0.0
17,0.03389414353179221,0.45738327570572984,1.2032268317651436,0.0,0.0,0.0
18,0.03576414316847594,0.45445278956533147,1.2868681912908448,0.0,0.0,0.0
19,0.03763414280515967,0.43675761817091324,1.7685350800340338,0.0,0.0,0.0
20,0.0395041424418434,0.42286286759199876,2.129443740401049,0.0,0.0,0.0
21,0.04137414207852713,0.42683106306513036,2.033974460526148,0.0,0.0,0.0
22,0.04324414171521086,0.4381713455643941,1.7647941975756034,0.0,0.0,0.0
23,0.04511414135189459,0.44091147991242663,1.7028253762458032,0.0,0.0,0.0
24,0.046984140988578324,0.4451360401600939,1.611083554806339,0.0,0.0,0.0
25,0.048854140625262055,0.4502552050524799,1.5042479245570368,0.0,0.0,0.0
26,0.050724140261945785,0.45611880856184656,1.3865000101195735,0.0,0.0,0.0
27,0.052594139898629516,0.4709241866232329,1.1007872501121545,0.0,0.0,0.0
28,0.05446413953531324,0.4852417913800381,0.8322664119236278,0.0,0.0,0.0
29,0.05633413917199697,0.48346450701148236,0.8639283870274479,0.0,0.0,0.0
30,0.0582041388086807,0.4721242391885432,1.0621192112516318,0.0,0.0,0.0
31,0.06007413844536443,0.47423181890703325,1.0267143693402303,0.0,0.0,0.0
32,0.06194413808204816,0.4710002382242302,1.0794189811752852,0.0,0.0,0.0
33,0.06381413771873189,0.46633995578829374,1.1536000606282486,0.0,0.0,0.0
34,0.06568413735541562,0.46247090545900665,1.213392085112279,0.0,0.0,0.0
35,0.06755413699209935,0.45947633180048,1.258402991999068,0.0,0.0,0.0
36,0.06942413662878308,0.45872806097494134,1.269409205591368,0.0,0.0,0.0
37,0.07129413626546681,0.4630176708757268,1.2084846992482046,0.0,0.0,0.0
38,0.07316413590215054,0.4710350188766327,1.0975328671783062,0.0,0.0,0.0
39,0.07503413553883427,0.48466316470374227,0.9137635470537916,0.0,0.0,0.0
40,0.076904135175518,0.49988709379420077,0.7133360215032011,0.0,0.0,0.0
41,0.07877413481220173,0.514424439410532,0.5265559592104283,0.0,0.0,0.0
42,0.08064413444888546,0.5288953005232401,0.34500782592028534,0.0,0.0,0.0
43,0.0825141340855692,0.5446446842843891,0.15194816023278904,0.0,0.0,0.0
44,0.08438413372225292,0.5631817540739308,-0.07022145579733628,0.0,0.0,0.0
45,0.08625413335893664,0.5796074115181225,-0.26279300803601413,0.0,0.0,0.0
46,0.08812413299562037,0.6134072797770178,-0.6500463658570321,0.0,0.0,0.0
47,0.0899941326323041,0.6180397583126102,-0.7033834442554058,0.0,0.0,0.0
48,0.09186413226898783,0.5957827874626318,-0.45837378863644257,0.0,0.0,0.0
49,0.09373413190567156,0.5971739707301925,-0.47252216992719004,0.0,0.0,0.0
50,0.0956041315423553,0.6491479140970949,-1.0215378974301443,0.0,0.0,0.0
51,0.09747413117903903,0.7002534743249729,-1.5509772241538733,0.0,0.0,0.0
52,0.09934413081572276,0.7615561946419888,-2.1738915444628932,0.0,0.0,0.0
53,0.10121413045240649,0.8339118967016936,-2.8953325318553484,0.0,0.0,0.0
54,0.10308413008909022,0.9081868699847838,-3.6224605447873803,0.0,0.0,0.0
55,0.10495412972577395,1.0066712207175095,-4.568384711967229,0.0,0.0,0.0
56,0.10682412936245768,1.0980443525919261,-5.432754228450632,0.0,0.0,0.0
57,0.10869412899914141,1.0907261503102468,-5.365303311243403,0.0,0.0,0.0
58,0.11056412863582514,1.0486334716642831,-4.981094147833125,0.0,0.0,0.0
59,0.11243412827250887,1.0821799074990757,-5.281639043736325,0.0,0.0,0.0
60,0.1143041279091926,1.1107428797657664,-5.533758029612399,0.0,0.0,0.0
61,0.11617412754587633,1.1474139652030835,-5.851748487863734,0.0,0.0,0.0
62,0.11804412718256006,1.1684812225101437,-6.032035050984645,0.0,0.0,0.0
63,0.1199141268192438,1.2201357403523792,-6.464732568137743,0.0,0.0,0.0
64,0.12178412645592752,1.2504621521383779,-6.719089677039409,0.0,0.0,0.0
65,0.12365412609261126,1.1151219465262312,-5.610120255411663,0.0,0.0,0.0
66,0.125524125729295,2.04197336006472,-13.054122160112987,0.0,0.0,0.0
