t;Pa
0,00;1,01E+05
1,00;1,01E+05
2,00;1,01E+05
3,00;1,01E+05
4,00;9,33E+04
5,00;8,38E+04
6,00;7,34E+04
7,00;6,54E+04
8,00;5,86E+04
9,00;5,29E+04
10,00;4,88E+04
11,00;4,35E+04
12,00;4,05E+04
13,00;3,76E+04
14,00;3,41E+04
15,00;3,10E+04
16,00;2,87E+04
17,00;2,60E+04
18,00;2,38E+04
19,00;2,16E+04
20,00;2,04E+04
21,00;1,93E+04
22,00;1,81E+04
23,00;1,69E+04
24,00;1,58E+04
25,00;1,46E+04
26,00;1,35E+04
27,00;1,24E+04
28,00;1,14E+04
29,00;1,07E+04
30,00;1,01E+04
31,00;9,51E+03
32,00;8,92E+03
33,00;8,34E+03
34,00;7,80E+03
35,00;7,33E+03
36,00;6,81E+03
37,00;6,44E+03
38,00;6,07E+03
39,00;5,71E+03
40,00;5,38E+03
41,00;5,00E+03
42,00;4,65E+03
43,00;4,39E+03
44,00;4,21E+03
45,00;4,04E+03
46,00;3,84E+03
47,00;3,66E+03
48,00;3,47E+03
49,00;3,29E+03
50,00;3,11E+03
51,00;2,93E+03
52,00;2,77E+03
53,00;2,60E+03
54,00;2,43E+03
55,00;2,28E+03
56,00;2,18E+03
57,00;2,08E+03
58,00;1,99E+03
59,00;1,90E+03
60,00;1,81E+03
61,00;1,72E+03
62,00;1,64E+03
63,00;1,56E+03
64,00;1,48E+03
65,00;1,40E+03
66,00;1,33E+03
67,00;1,26E+03
68,00;1,19E+03
69,00;1,13E+03
70,00;1,08E+03
71,00;1,04E+03
72,00;9,97E+02
73,00;9,56E+02
74,00;9,17E+02
75,00;8,80E+02
76,00;8,46E+02
77,00;8,13E+02
78,00;7,80E+02
79,00;7,50E+02
80,00;7,21E+02
81,00;6,92E+02
82,00;6,66E+02
83,00;6,44E+02
84,00;6,24E+02
85,00;6,04E+02
86,00;5,85E+02
87,00;5,66E+02
88,00;5,49E+02
89,00;5,32E+02
90,00;5,16E+02
91,00;5,00E+02
92,00;4,85E+02
93,00;4,70E+02
94,00;4,57E+02
95,00;4,44E+02
96,00;4,33E+02
97,00;4,21E+02
98,00;4,11E+02
99,00;4,01E+02
100,00;3,91E+02
101,00;3,82E+02
102,00;3,73E+02
103,00;3,64E+02
104,00;3,55E+02
105,00;3,47E+02
106,00;3,40E+02
107,00;3,33E+02
108,00;3,26E+02
109,00;3,19E+02
110,00;3,12E+02
111,00;3,06E+02
112,00;3,00E+02
113,00;2,94E+02
114,00;2,89E+02
115,00;2,84E+02
116,00;2,79E+02
117,00;2,74E+02
118,00;2,69E+02
119,00;2,65E+02
120,00;2,60E+02
121,00;2,56E+02
122,00;2,52E+02
123,00;2,48E+02
124,00;2,45E+02
125,00;2,41E+02
126,00;2,37E+02
127,00;2,34E+02
128,00;2,31E+02
129,00;2,28E+02
130,00;2,25E+02
131,00;2,21E+02
132,00;2,18E+02
133,00;2,16E+02
134,00;2,13E+02
135,00;2,10E+02
136,00;2,08E+02
137,00;2,05E+02
138,00;2,03E+02
139,00;2,00E+02
140,00;1,98E+02
141,00;1,96E+02
142,00;1,93E+02
143,00;1,91E+02
144,00;1,89E+02
145,00;1,87E+02
146,00;1,85E+02
147,00;1,84E+02
148,00;1,82E+02
149,00;1,80E+02
150,00;1,79E+02
151,00;1,77E+02
152,00;1,75E+02
153,00;1,73E+02
154,00;1,72E+02
155,00;1,70E+02
156,00;1,69E+02
157,00;1,67E+02
158,00;1,66E+02
159,00;1,65E+02
160,00;1,63E+02
161,00;1,62E+02
162,00;1,61E+02
163,00;1,59E+02
164,00;1,58E+02
165,00;1,57E+02
166,00;1,56E+02
167,00;1,55E+02
168,00;1,54E+02
169,00;1,53E+02
170,00;1,52E+02
171,00;1,51E+02
